round,k,threshold,f1,precision,recall
1,1,0.9829829829829829,0.9147368421052632,0.9655555555555555,0.869
1,3,0.993993993993994,0.9769539078156313,0.9789156626506024,0.975
1,5,0.993993993993994,0.9554404145077721,0.9913978494623656,0.922
1,10,0.993993993993994,0.9066232356134636,0.9916864608076009,0.835
2,1,0.992992992992993,0.9763779527559056,0.9612403100775194,0.992
2,3,0.996996996996997,0.9505980239209568,0.9902491874322861,0.914
2,5,0.996996996996997,0.9367088607594937,0.9910714285714286,0.888
2,10,0.996996996996997,0.9282296650717703,0.9909194097616345,0.873
3,1,0.992992992992993,0.9777558082056352,0.9667644183773216,0.989
3,3,0.996996996996997,0.9412381951731374,0.9900662251655629,0.897
3,5,0.996996996996997,0.9339672477548864,0.9899216125419933,0.884
3,10,0.996996996996997,0.9207708779443254,0.9907834101382489,0.86
4,1,0.992992992992993,0.9776230730979613,0.9723046488625123,0.983
4,3,0.996996996996997,0.9287991498405951,0.9909297052154195,0.874
4,5,0.996996996996997,0.9184549356223176,0.9907407407407407,0.856
4,10,0.996996996996997,0.8971553610503282,0.9903381642512077,0.82
5,1,0.993993993993994,0.9821428571428571,0.9744094488188977,0.99
5,3,0.996996996996997,0.9311440677966102,0.9898648648648649,0.879
5,5,0.996996996996997,0.9168008588298443,0.9895712630359212,0.854
5,10,0.996996996996997,0.8517673888255416,0.9907161803713528,0.747
6,1,0.993993993993994,0.9637357178340785,0.9575518262586377,0.97
6,3,0.996996996996997,0.9197002141327623,0.9896313364055299,0.859
6,5,0.996996996996997,0.9050461204557786,0.9893238434163701,0.834
6,10,0.996996996996997,0.8608597285067874,0.9908854166666666,0.761
7,1,0.993993993993994,0.9766980664353,0.9685349065880039,0.985
7,3,0.996996996996997,0.9592573491490459,0.9904153354632588,0.93
7,5,0.996996996996997,0.8868028713418001,0.9901356350184957,0.803
7,10,0.996996996996997,0.8373983739837398,0.9986149584487535,0.721
8,1,0.993993993993994,0.9672293942403177,0.960552268244576,0.974
8,3,0.996996996996997,0.9197002141327623,0.9896313364055299,0.859
8,5,0.996996996996997,0.8891340319911748,0.991389913899139,0.806
8,10,0.996996996996997,0.8372900984365953,0.9944979367262724,0.723
9,1,0.993993993993994,0.9721946375372393,0.965483234714004,0.979
9,3,0.996996996996997,0.9592573491490459,0.9904153354632588,0.93
9,5,0.996996996996997,0.8910891089108911,0.9902200488997555,0.81
9,10,0.996996996996997,0.8558404558404559,0.9947019867549669,0.751
10,1,0.993993993993994,0.9751984126984127,0.96751968503937,0.983
10,3,0.996996996996997,0.9444444444444444,0.9922907488986784,0.901
10,5,0.996996996996997,0.8543799772468714,0.9907651715039578,0.751
10,10,0.996996996996997,0.8367228355607205,0.9986130374479889,0.72
11,1,0.993993993993994,0.9709216362740266,0.9572400388726919,0.985
11,3,0.996996996996997,0.9473135106937924,0.990185387131952,0.908
11,5,0.996996996996997,0.8592508513053349,0.9934383202099738,0.757
11,10,0.996996996996997,0.8125741399762753,0.9985422740524781,0.685
12,1,0.993993993993994,0.9776674937965261,0.9704433497536946,0.985
12,3,0.996996996996997,0.9433962264150944,0.9911894273127754,0.9
12,5,0.996996996996997,0.8556818181818182,0.9907894736842106,0.753
12,10,0.996996996996997,0.8271821909783246,0.9985855728429985,0.706
13,1,0.993993993993994,0.9765351972041937,0.9750747756729811,0.978
13,3,0.996996996996997,0.9333333333333333,0.9910112359550561,0.882
13,5,0.996996996996997,0.8545350827153452,0.9946879150066401,0.749
13,10,0.996996996996997,0.8244274809160306,0.9985775248933144,0.702
14,1,0.993993993993994,0.968937875751503,0.9708835341365462,0.967
14,3,0.996996996996997,0.8742314141978759,0.991128010139417,0.782
14,5,0.996996996996997,0.8509174311926605,0.9973118279569892,0.742
14,10,0.996996996996997,0.8319719953325554,0.9985994397759104,0.713
15,1,0.993993993993994,0.9732728189611699,0.9816887080366226,0.965
15,3,0.996996996996997,0.9299363057324841,0.9909502262443439,0.876
15,5,0.996996996996997,0.8497706422018348,0.9959677419354839,0.741
15,10,0.996996996996997,0.8047761194029851,0.9985185185185185,0.674
16,1,0.993993993993994,0.974739970282318,0.9656526005888125,0.984
16,3,0.996996996996997,0.9177861364857604,0.991869918699187,0.854
16,5,0.996996996996997,0.8502581755593803,0.9973082099596231,0.741
16,10,0.996996996996997,0.8223529411764706,0.9985714285714286,0.699
17,1,0.993993993993994,0.9775561097256857,0.9751243781094527,0.98
17,3,0.996996996996997,0.9183673469387755,0.9918793503480279,0.855
17,5,0.996996996996997,0.8509174311926605,0.9973118279569892,0.742
17,10,0.996996996996997,0.8209658421672555,0.998567335243553,0.697
18,1,0.993993993993994,0.9753892516323456,0.9798183652875883,0.971
18,3,0.996996996996997,0.9246392303580973,0.9931113662456946,0.865
18,5,0.996996996996997,0.8469505178365938,0.997289972899729,0.736
18,10,0.996996996996997,0.8160851567120048,0.9985528219971056,0.69
19,1,0.993993993993994,0.980980980980981,0.9819639278557114,0.98
