round,k,threshold,f1,precision,recall
44,1,0.993993993993994,0.9819458375125376,0.9849094567404426,0.979
44,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
44,5,0.996996996996997,0.916135881104034,0.9762443438914027,0.863
44,10,0.996996996996997,0.8590831918505942,0.9895697522816167,0.759
45,1,0.990990990990991,0.958974358974359,0.9842105263157894,0.935
45,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
45,5,0.996996996996997,0.9178590355060944,0.9763246899661782,0.866
45,10,0.996996996996997,0.8603730921424534,0.9895968790637191,0.761
46,1,0.990990990990991,0.958974358974359,0.9842105263157894,0.935
46,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
46,5,0.996996996996997,0.9184322033898306,0.9763513513513513,0.867
46,10,0.996996996996997,0.8551959114139693,0.9894875164257556,0.753
47,1,0.993993993993994,0.986,0.986,0.986
47,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
47,5,0.996996996996997,0.9184322033898306,0.9763513513513513,0.867
47,10,0.996996996996997,0.8545454545454545,0.9894736842105263,0.752
48,1,0.993993993993994,0.986,0.986,0.986
48,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
48,5,0.996996996996997,0.9178590355060944,0.9763246899661782,0.866
48,10,0.996996996996997,0.852589641434263,0.9894319682959049,0.749
49,1,0.993993993993994,0.986,0.986,0.986
49,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
49,5,0.996996996996997,0.9178590355060944,0.9763246899661782,0.866
49,10,0.997997997997998,0.851985559566787,0.8796592119275826,0.826
50,1,0.993993993993994,0.986,0.986,0.986
50,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
50,5,0.996996996996997,0.9178590355060944,0.9763246899661782,0.866
50,10,0.997997997997998,0.851985559566787,0.8796592119275826,0.826
