round,k,threshold,f1,precision,recall
30,10,1.0,0.8459796149490374,0.9751958224543081,0.747
31,1,0.995995995995996,0.9693004529441369,0.9756838905775076,0.963
31,3,0.996996996996997,0.878703186137507,0.9961977186311787,0.786
31,5,0.997997997997998,0.8391061452513966,0.950632911392405,0.751
31,10,1.0,0.8460661345496009,0.9840848806366048,0.742
32,1,0.995995995995996,0.9675785207700102,0.9804928131416838,0.955
32,3,0.996996996996997,0.8692220969560316,0.9961240310077519,0.771
32,5,0.997997997997998,0.8423398328690808,0.9509433962264151,0.756
32,10,1.0,0.8521444695259593,0.977979274611399,0.755
33,1,0.995995995995996,0.9691451694486596,0.9805527123848515,0.958
33,3,0.996996996996997,0.8794642857142857,0.9949494949494949,0.788
33,5,0.997997997997998,0.8335146898803046,0.9140811455847255,0.766
33,10,1.0,0.8555240793201133,0.9869281045751634,0.755
34,1,0.995995995995996,0.9696663296258847,0.9805725971370143,0.959
34,3,0.996996996996997,0.9168466522678186,0.9964788732394366,0.849
34,5,0.997997997997998,0.8317909635274905,0.9127837514934289,0.764
34,10,1.0,0.8285398230088495,0.926980198019802,0.749
35,1,0.995995995995996,0.9681012658227848,0.9805128205128205,0.956
35,3,0.996996996996997,0.8693693693693694,0.9948453608247423,0.772
35,5,0.997997997997998,0.8429844097995546,0.9510050251256281,0.757
35,10,1.0,0.8295391449194892,0.9325842696629213,0.747
36,1,0.995995995995996,0.9758793969849247,0.9808080808080808,0.971
36,3,0.996996996996997,0.8825820812465219,0.9949811794228356,0.793
36,5,0.997997997997998,0.8442714126807565,0.9511278195488722,0.759
36,10,1.0,0.824376731301939,0.924223602484472,0.744
37,1,0.995995995995996,0.973816717019134,0.9807302231237323,0.967
37,3,0.996996996996997,0.8788386376326075,0.9949431099873578,0.787
37,5,0.996996996996997,0.8321678321678322,0.9972067039106145,0.714
37,10,1.0,0.8153005464480875,0.8987951807228916,0.746
38,1,0.995995995995996,0.9743589743589743,0.9797775530839231,0.969
38,3,0.996996996996997,0.8780760626398211,0.9961928934010152,0.785
38,5,0.996996996996997,0.8312901342673672,0.9985974754558204,0.712
38,10,1.0,0.8462414578587699,0.9828042328042328,0.743
39,1,0.995995995995996,0.972809667673716,0.9797160243407708,0.966
39,3,0.996996996996997,0.8780760626398211,0.9961928934010152,0.785
39,5,0.996996996996997,0.8319719953325554,0.9985994397759104,0.713
39,10,1.0,0.8367117117117117,0.9574742268041238,0.743
40,1,0.995995995995996,0.9718026183282981,0.9787018255578094,0.965
40,3,0.996996996996997,0.8636106395019808,0.9947848761408083,0.763
40,5,0.997997997997998,0.8434540389972145,0.9522012578616352,0.757
40,10,1.0,0.8418683173888576,0.9626769626769627,0.748
41,1,0.995995995995996,0.970736629667003,0.9796334012219959,0.962
41,3,0.996996996996997,0.8637911464245176,0.9986876640419947,0.761
41,5,0.997997997997998,0.842809364548495,0.9521410579345088,0.756
41,10,1.0,0.8488636363636364,0.9828947368421053,0.747
42,1,0.995995995995996,0.9712266532054518,0.9806320081549439,0.962
42,3,0.996996996996997,0.8535469107551488,0.9973262032085561,0.746
42,5,0.997997997997998,0.8434540389972145,0.9522012578616352,0.757
42,10,1.0,0.8412162162162162,0.9626288659793815,0.747
43,1,0.995995995995996,0.9707661290322581,0.9786585365853658,0.963
43,3,0.996996996996997,0.8613636363636363,0.9973684210526316,0.758
43,5,0.997997997997998,0.842809364548495,0.9521410579345088,0.756
43,10,1.0,0.84251968503937,0.9627249357326478,0.749
44,1,0.995995995995996,0.970736629667003,0.9796334012219959,0.962
44,3,0.996996996996997,0.8613636363636363,0.9973684210526316,0.758
44,5,0.997997997997998,0.842809364548495,0.9521410579345088,0.756
44,10,1.0,0.84251968503937,0.9627249357326478,0.749
45,1,0.995995995995996,0.9696969696969697,0.9795918367346939,0.96
45,3,0.996996996996997,0.8620102214650767,0.9973718791064389,0.759
45,5,0.997997997997998,0.842809364548495,0.9521410579345088,0.756
45,10,1.0,0.8421645997745209,0.9651162790697675,0.747
46,1,0.995995995995996,0.9701869631126832,0.9805924412665986,0.96
46,3,0.996996996996997,0.8607163160886867,0.997364953886693,0.757
46,5,0.997997997997998,0.842809364548495,0.9521410579345088,0.756
46,10,1.0,0.8435911914172783,0.9688715953307393,0.747
47,1,0.995995995995996,0.9702170620898536,0.9796126401630989,0.961
47,3,0.996996996996997,0.8618533257532689,0.9986824769433466,0.758
47,5,0.997997997997998,0.8421639709983268,0.9520807061790668,0.755
47,10,1.0,0.8442437923250564,0.9689119170984456,0.748
48,1,0.995995995995996,0.9697275479313825,0.9786150712830958,0.961
48,3,0.996996996996997,0.8618533257532689,0.9986824769433466,0.758
48,5,0.997997997997998,0.8421639709983268,0.9520807061790668,0.755
48,10,1.0,0.8429378531073446,0.9688311688311688,0.746
49,1,0.995995995995996,0.9697275479313825,0.9786150712830958,0.961
49,3,0.996996996996997,0.8613636363636363,0.9973684210526316,0.758
49,5,0.997997997997998,0.8421639709983268,0.9520807061790668,0.755
49,10,1.0,0.8412162162162162,0.9626288659793815,0.747
50,1,0.995995995995996,0.9697275479313825,0.9786150712830958,0.961
50,3,0.996996996996997,0.8613636363636363,0.9973684210526316,0.758
50,5,0.997997997997998,0.8421639709983268,0.9520807061790668,0.755
50,10,1.0,0.8412162162162162,0.9626288659793815,0.747
